ID	GTEX-11GSO	GTEX-11UD1	GTEX-11ZTS	GTEX-11ZVC	GTEX-12WSC	GTEX-12WSD	GTEX-12WSF	GTEX-12WSM	GTEX-12ZZW	GTEX-12ZZX	GTEX-12ZZZ	GTEX-13112	GTEX-139T8	GTEX-139TT	GTEX-13CF2	GTEX-13CIG	GTEX-13CZV	GTEX-13FHO	GTEX-13FLV	GTEX-13IVO	GTEX-13JVG	GTEX-13N1W	GTEX-13N2G	GTEX-13NYS	GTEX-13O3O	GTEX-13O3Q	GTEX-13OVH	GTEX-13OVL	GTEX-13OW5	GTEX-13OW7	GTEX-13OW8	GTEX-13PLJ	GTEX-13QIC	GTEX-13RTJ	GTEX-13S7M	GTEX-13SLW	GTEX-13VXU	GTEX-13X6I	GTEX-13X6J	GTEX-13X6K	GTEX-145MG	GTEX-145MH	GTEX-N7MS	GTEX-NL3H	GTEX-NPJ8	GTEX-P44H	GTEX-PVOW	GTEX-PWO3	GTEX-Q2AG	GTEX-QDT8	GTEX-QVUS	GTEX-RNOR	GTEX-RVPU	GTEX-RVPV	GTEX-T2IS	GTEX-UTHO	GTEX-WHSE	GTEX-WL46	GTEX-WZTO	GTEX-X4XX	GTEX-X585	GTEX-XLM4	GTEX-XMD1	GTEX-Y8DK	GTEX-YFC4	GTEX-YJ89	GTEX-Z93S	GTEX-ZAB4	GTEX-ZF28	GTEX-ZUA1	GTEX-ZVT3	GTEX-ZVZQ 
InferredCov8	-0.0758240967988968	-0.127353802323341	-0.085899643599987	-0.111351110041142	0.0270109474658966	-0.0628397315740585	0.206895917654037	-0.0194829404354095	0.0363513976335526	-0.00694301165640354	0.0450774915516376	-0.0591252222657204	0.190409526228905	-0.0225802194327116	-0.0877106934785843	-0.0327543467283249	0.188307166099548	0.0757195129990578	-0.0734567493200302	-0.0151957301422954	-0.0259951204061508	-0.0300899762660265	-0.349719732999802	-0.00944558810442686	0.0379572585225105	-0.0121553270146251	0.100450426340103	-0.0317478515207767	-0.101307652890682	-0.189709141850471	-0.00982130039483309	-0.154868572950363	0.0332187637686729	0.0640088617801666	0.0635170117020607	0.188571691513062	0.0105122150853276	0.116219900548458	-0.0127671053633094	-0.103795073926449	-0.0661269426345825	-0.063582219183445	-0.0970335006713867	0.0414037629961967	-0.0893879234790802	0.181450173258781	0.0328385084867477	0.0144188543781638	-0.125581532716751	0.0977149531245232	-0.0577422305941582	-0.0639718621969223	0.0688031911849976	0.00197003944776952	-0.00728512788191438	0.172622039914131	0.17206209897995	-0.0715354532003403	-0.0896623879671097	0.0444777272641659	0.0742488279938698	0.0203371662646532	0.131297364830971	0.0167639777064323	-0.174063518643379	-0.00849672500044107	0.157009899616241	0.00724784377962351	0.0863755717873573	0.0226766318082809	0.0335233621299267	-0.0352620668709278
InferredCov9	0.0615763291716576	0.0328578092157841	-0.0489903800189495	-0.0104530937969685	0.121241472661495	-0.151445358991623	0.0074049411341548	0.0070167793892324	0.0522802844643593	-0.151915013790131	-0.00921264290809631	-0.0292447246611118	-0.0406799577176571	0.134263426065445	-0.0131433280184865	-0.0215056780725718	0.12345739454031	0.161927595734596	-0.029776668176055	-0.00621419306844473	-0.00989073049277067	-0.190274983644485	-0.0324525125324726	0.10125907510519	-0.112674184143543	0.148214042186737	0.00672622444108129	-0.102365985512733	-0.188051894307137	0.00497127650305629	0.0127506041899323	0.0376915596425533	0.0251167267560959	0.074462778866291	-0.0316125974059105	-0.00540011702105403	-0.0162796881049871	0.185074031352997	-0.070612795650959	-0.0286058317869902	-0.0365214794874191	0.0251967962831259	-0.000228755103307776	0.0703996121883392	0.00920270290225744	-0.0522134564816952	-0.248181954026222	0.165108606219292	0.0359968952834606	-0.0570049807429314	0.180784776806831	0.0612959638237953	0.038495447486639	-0.156825095415115	-0.0244619585573673	-0.131019681692123	-0.22381629049778	0.135250970721245	-0.100282125174999	0.00416156183928251	0.149213463068008	0.106869824230671	0.0213734284043312	-0.0535431392490864	0.0819124132394791	0.0251067187637091	-0.126266121864319	0.176659673452377	0.0693469122052193	-0.0387615263462067	-0.0200927928090096	-0.0845740363001823
InferredCov10	0.017021456733346	0.00614008493721485	-0.0073572569526732	-0.10614737868309	0.0701523721218109	-0.0328005738556385	0.0536867342889309	-0.0158243738114834	-0.184560924768448	-0.0420722290873528	0.0480565093457699	0.0164395999163389	-0.208860918879509	0.033553384244442	-0.109810307621956	0.00527243036776781	0.033544734120369	-0.105719350278378	0.0515176951885223	-0.0348484106361866	-0.0686487853527069	-0.0343188568949699	0.0606154650449753	-0.0405394285917282	0.0319856069982052	0.0217227451503277	0.150113359093666	0.0414295569062233	0.0384075492620468	0.0507204793393612	0.0280407387763262	-0.0160081759095192	0.131608411669731	0.119192570447922	0.0891339629888535	-0.150537386536598	0.0510816499590874	0.0784581825137138	0.0204583462327719	0.00167588831391186	0.0954556539654732	-0.115353591740131	-0.0631250739097595	-0.0150460740551353	0.0590123683214188	-0.115657202899456	-0.0571650564670563	0.0220392681658268	-0.109984517097473	-0.0594422668218613	0.124104790389538	-0.0263721309602261	-0.0568416677415371	0.0219046976417303	0.00969616416841745	0.273197770118713	-0.0545182265341282	-0.161890745162964	-0.0388772860169411	0.0942636057734489	0.063456229865551	0.0272144563496113	0.00849912315607071	0.0833126977086067	-0.0306116584688425	-0.0259571820497513	-0.0916442647576332	-0.0532869137823582	-0.0579207018017769	0.156450569629669	-0.0534490495920181	0.0562406480312347
InferredCov11	-0.0752910822629929	-0.00773566868156195	-0.0273753199726343	0.0820024684071541	0.0956859141588211	-0.0352107770740986	0.0118533996865153	-0.0122839827090502	0.066196009516716	-0.0508207157254219	0.0100121218711138	-0.0627221241593361	-0.0168009642511606	-0.16201388835907	-0.133502021431923	-0.104814633727074	-0.0234516561031342	0.0158684775233269	-0.0786325335502625	0.122109204530716	0.0304275751113892	-0.139769658446312	0.0710118040442467	-0.16039976477623	-0.0517084300518036	0.020882835611701	0.0219080988317728	0.0100326715037227	0.122074350714684	0.0944724678993225	-0.0956694334745407	0.122931353747845	0.0916466936469078	0.101147122681141	0.0505148880183697	-0.00196056277491152	0.099600225687027	0.0399162210524082	0.0787604600191116	-0.107896968722343	-0.0349677726626396	0.0942216366529465	0.0496068559587002	-0.0933796837925911	0.0109391780570149	0.0374909676611423	0.0387234017252922	0.0152267850935459	-0.00712971994653344	0.0680777654051781	-0.125560760498047	0.0493199229240417	0.0207169838249683	-0.0421585999429226	0.100651644170284	-0.00711876200512052	0.0105430064722896	0.171194568276405	-0.0673860237002373	-0.0975224822759628	0.0876472443342209	-0.0349551066756248	-0.0972378998994827	-0.0057654189877212	-0.0915272235870361	-0.0517683401703835	0.00371388881467283	-0.103367812931538	-0.0689447745680809	0.156178787350655	0.104989379644394	-0.101247802376747
InferredCov12	0.0217817816883326	-0.0385170131921768	0.105938985943794	0.000498033768963069	-0.0163179896771908	0.040790393948555	0.0257304757833481	-0.0629640817642212	0.00128614157438278	-0.100028611719608	0.009097620844841	-0.00579569069668651	-0.0252764299511909	-0.0766430497169495	-0.00907263904809952	0.122553065419197	-0.0175553932785988	-0.00138203694950789	0.0887317284941673	0.0146711356937885	0.091249868273735	0.0528810955584049	-0.0480020791292191	-0.00955718476325274	0.0643988102674484	-0.0141252567991614	-0.0198105238378048	0.058309942483902	-0.0846155732870102	-0.024356234818697	-0.0056466069072485	-0.0240402799099684	-0.0464881807565689	-0.00130060082301497	-0.0586593076586723	-0.0147175500169396	0.0236743874847889	-0.000894318451173604	-0.0674440264701843	-0.0301753673702478	-0.0173498000949621	0.00698087457567453	0.046058613806963	0.0613756105303764	-0.11294849216938	-0.0651114135980606	-0.0653828009963036	0.117801181972027	0.025623532012105	-0.0876917615532875	0.0766350403428078	0.0169970169663429	0.118045277893543	0.0884292274713516	0.0477380901575089	0.0939254984259605	0.120473526418209	0.0228627566248178	-0.030423779040575	-0.0798836201429367	0.0238186381757259	0.018459964543581	-0.0597052946686745	-0.0438213534653187	0.0306901875883341	-0.0451017394661903	-0.120892718434334	-0.0555049851536751	-0.0588673315942287	-0.00888819899410009	0.0604857206344604	-0.0427545346319675
InferredCov13	0.00990957673639059	-0.00779599556699395	0.0190946366637945	0.00708725396543741	-0.0226211678236723	-0.00270466995425522	0.00570022407919168	-0.00875803455710411	0.00438112998381257	-0.00286145485006273	-0.0110784824937582	0.0118473945185542	0.0155393127351999	0.0255872774869204	0.00903799198567867	0.0288254506886005	-0.0103390878066421	-0.0124632623046637	0.0111880460754037	0.00767677789554	0.0197414755821228	0.0348163992166519	-0.0234271548688412	-0.00771076884120703	0.026175519451499	-0.0171097535640001	-0.0129030970856547	-0.00467900466173887	-0.0300372187048197	-0.01527005340904	0.0259235743433237	-0.0147553477436304	-0.00921433046460152	0.00106378237251192	-0.013738976791501	-0.00192235526628792	-0.00843117199838161	-0.0105518558993936	-0.00816410500556231	0.0128826145082712	-0.0136849191039801	-0.00857636984437704	-0.00501970387995243	-0.00596027914434671	-0.0104930279776454	-0.0115573015064001	0.00079666986130178	0.00657928828150034	-0.008884247392416	-0.0136754689738154	-0.00309068895876408	-1.25496426335303e-05	-0.0313745513558388	0.00787882041186094	-0.00909803807735443	-0.0125066814944148	0.000337319652317092	-0.00410168059170246	0.0154574261978269	0.00855498388409615	0.00660924986004829	0.0280165504664183	0.0075465408153832	-0.000307107635308057	0.0163415316492319	0.00200387695804238	-0.0179514605551958	0.0173563677817583	0.0115725928917527	0.000151896761963144	0.00317603256553411	0.00394013850018382
InferredCov14	0.00517885992303491	-0.0147278364747763	0.0233345348387957	0.0303745903074741	-0.0218385327607393	-0.0324416570365429	0.0227754320949316	-0.0180787686258554	0.00906730350106955	-0.0086887301877141	-0.0219071004539728	0.0178984981030226	0.0185778718441725	0.0487983115017414	-0.0222577098757029	0.0282967779785395	-0.0255197305232286	-0.0378315672278404	-0.00169908022508025	0.046869058161974	0.0372501462697983	0.0381971932947636	-0.0308967158198357	-0.0642197504639626	0.0453134700655937	-0.0317582599818707	-0.00807035434991121	-0.0172887574881315	-0.0372926257550716	-0.00557920476421714	0.0486672483384609	-0.00394370034337044	0.0235450193285942	0.0459870994091034	-0.00409951480105519	-0.0222951304167509	0.00496384734287858	-0.00413063261657953	0.0135762682184577	0.0119736064225435	-0.0340806394815445	-0.010598505847156	-0.0169120840728283	-0.0547757558524609	0.00357995228841901	-0.0254267230629921	0.013190645724535	0.00573434308171272	-0.0423239357769489	-0.0121624441817403	-0.0409587360918522	0.0095067098736763	-0.109955586493015	-0.00640766369178891	-0.00674685509875417	-0.0246441811323166	-0.0276024863123894	0.0163906794041395	0.024025946855545	0.02203887142241	0.0468506850302219	0.070052482187748	0.0095780324190855	0.014063524082303	0.011378769762814	-0.00305251567624509	-0.037898488342762	0.0275797322392464	0.0174477975815535	0.0617104917764664	0.017341585829854	-0.00313016888685524
InferredCov15	0.00112891697790474	-0.00216423510573804	0.00271070026792586	0.0102367848157883	-0.00951904803514481	-0.0093621676787734	0.00327890925109386	-0.00153178256005049	0.00587429013103247	0.00498339626938105	-0.00817798729985952	0.00630842801183462	0.0116664227098227	0.0189935155212879	-0.000649946858175099	0.00396936293691397	-0.00784265156835318	-0.00935818254947662	-0.00440975232049823	0.0118362130597234	0.00766682764515281	0.0121716279536486	-0.00887761637568474	-0.0147174187004566	0.0102505031973124	-0.00980930961668491	-0.00563150085508823	-0.00846770498901606	-0.00945105217397213	-0.0026493554469198	0.0153934061527252	-0.00137879408430308	0.00409319065511227	0.00855726469308138	-0.00124039105139673	-0.00240384507924318	-0.00260243751108646	-0.00460489327087998	0.00590487662702799	0.00710235070437193	-0.0104705188423395	-0.00188962346874177	-0.00621540937572718	-0.0172454677522182	0.00512703508138657	-0.00243482156656682	0.00874015036970377	-0.005544388666749	-0.01036012545228	0.00107574090361595	-0.0173163022845984	0.00167626840993762	-0.0371388234198093	-0.00535170128569007	-0.00634955381974578	-0.0182436052709818	-0.0123678389936686	0.00457515055313706	0.0111710643395782	0.00973443500697613	0.00878489855676889	0.0188938993960619	0.00682434905320406	0.00440496997907758	0.00402535824105144	0.00275769527070224	-0.0028133443556726	0.0130937378853559	0.0103239715099335	0.011833974160254	0.00158793013542891	0.00178883341141045
gender	2	1	1	1	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1
Platform	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
